ID,金額
0,2422
1,1089
2,6413
3,1210
4,3643
5,605
6,1241
7,1210
8,1573
9,363
10,1331
11,2422
12,6054
13,4824
14,1241
15,3267
16,1331
17,847
18,1331
19,1089
20,3632
21,726
22,6292
23,4598
24,1216
25,3637
26,1210
27,2422
28,9922
29,3630
30,1573
31,1573
32,2057
33,3632
34,1214
35,4845
36,1218
37,1211
38,3267
39,3634
40,2427
41,7262
42,1076449
43,1452
44,3634
45,8472
46,6534
47,847
48,1694
49,6054
50,6655
51,1331
52,2662
53,1815
54,1815
55,1089
56,1331
57,1137
58,1694
59,3632
60,1215
61,1694
62,2425
63,3632
64,1089
65,6059
66,3631
67,4844
68,2541
69,2427
70,968
71,2422
72,6055
73,2662
74,8476
75,4235
76,6055
77,1210
78,7262
79,6050
80,7744
81,6054
82,2425
83,2541
84,3632
85,4477
86,1210
87,1210
88,3635
89,6655
90,1331
91,1936
92,1694
93,4845
94,1089
95,1210
96,4719
97,1217
98,4598
99,7262
100,4845
101,1219
102,1089
103,2425
104,3632
105,13189
106,3632
107,3638
108,22264
109,15732
110,4845
111,4840
112,6776
113,1452
114,3632
115,6059
116,847
117,1936
118,1089
119,847
120,7262
121,3634
122,3631
123,4844
124,5687
125,1089
126,6052
127,8472
128,7018
129,1210
130,2424
131,3638
132,3633
133,2420
134,3631
135,3630
136,3634
137,1694
138,6050
139,7262
140,3025
141,2422
142,4845
143,1573
144,1217
145,1815
146,1089
147,8472
148,6051
149,3634
150,2420
151,1694
152,1573
153,4961
154,1815
155,1331
156,1214
157,6292
158,1936
159,6171
160,1210
161,2726
162,4840
163,1573
164,4242
165,2783
166,1484
167,1089
168,2726
169,1331
170,1242
171,2541
172,5687
173,1452
174,2121
175,1452
176,2442
177,4477
178,2472
179,3632
180,6655
181,4844
182,1217
183,2726
184,2842
185,3726
186,1484
187,3388
188,1847
189,2242
190,1968
191,2726
192,108904
193,4363
194,4235
195,6171
196,2299
197,1331
198,2121
199,1331
